Title,Introduction,Genres,Developer,Publisher,Average Rating,Rating_100,Rating_90,Rating_80,Rating_70,Rating_60,Rating_50,Rating_40,Rating_30,Rating_20,Rating_10,Retirement,Platforms,ImageURL,PC,PlayStation 5,Xbox Series X/S,Mac,Nintendo Switch,PlayStation 4,Xbox One,Amazon Luna,Google Stadia,Mobile
Disco Elysium,"DISCO ELYSIUM is a groundbreaking blend of hardboiled cop show and isometric RPG. Solve a massive, open ended case in a unique urban fantasy setting. Kick in doors, interrogate suspects, or just get lost exploring the gorgeously rendered city of Revachol. What kind of cop you are — is up to you.","Isometric, Adventure, Role-Playing",ZA/UM,ZA/UM,90%,1031,634,278,102,46,25,11,5,2,5,3.10%,"PC, PlayStation 5, Nintendo Switch, PlayStation 4, Xbox Series X/S, Google Stadia, Xbox One",https://upload.wikimedia.org/wikipedia/en/0/0d/Disco_Elysium_Poster.jpeg,91,88,83,90,89,90,97,,95,
Metro Exodus,"Metro Exodus is an epic, story-driven first person shooter from 4A Games that blends deadly combat and stealth with exploration and survival horror in one of the most immersive game worlds ever created.","First-Person, Horror, Shooter, Stealth, Survival",4A Games,Deep Silver,82%,251,514,509,199,72,32,18,10,7,1,3.10%,"PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X/S, Google Stadia, Amazon Luna",https://upload.wikimedia.org/wikipedia/en/a/af/Cover_Art_of_Metro_Exodus.png,83,78,84,93,,79,83,60,64,
Star Wars Jedi: Fallen Order,"A galaxy-spanning adventure awaits in STAR WARS Jedi: Fallen Order, a 3rd person action-adventure title from Respawn Entertainment. An abandoned Padawan must complete his training, develop new powerful Force abilities, and master the art of the lightsaber - all while staying one step ahead of the Empire.","Third-Person, Action, Adventure, Platform",Respawn Entertainment,Electronic Arts,81%,474,1468,1895,749,237,63,30,8,3,3,2.70%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, Google Stadia",https://upload.wikimedia.org/wikipedia/en/1/13/Cover_art_of_Star_Wars_Jedi_Fallen_Order.jpg,81,81,82,,,80,83,,82,
Resident Evil 2,"A deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors. An unparalleled adrenaline rush, gripping storyline, and unimaginable horrors await you. Witness the return of Resident Evil 2.","Third-Person, Horror, Survival",Capcom R&D Division 1,Capcom,88%,1149,1859,1009,226,52,17,7,2,2,1,1.40%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, Amazon Luna, Nintendo Switch",https://upload.wikimedia.org/wikipedia/en/f/fd/Resident_Evil_2_Remake.jpg,88,88,87,,75,89,89,95,,
Sekiro: Shadows Die Twice,"Carve your own clever path to vengeance in an all-new adventure from developer FromSoftware, creators of Bloodborne and the Dark Souls series. Take Revenge. Restore your honor. Kill Ingeniously.","Third-Person, Action, Adventure",FromSoftware,Activision,91%,1444,968,372,115,35,14,16,6,1,3,4.20%,"PC, PlayStation 4, Xbox One, Google Stadia",https://upload.wikimedia.org/wikipedia/en/6/6e/Sekiro_art.jpg,91,,,,,91,92,,98,
A Plague Tale: Innocence,"Follow the grim tale of young Amicia and her little brother Hugo, on a heartrending journey through the darkest hours of history. Hunted by Inquisition soldiers and surrounded by unstoppable swarms of rats, Amicia and Hugo will come to know and trust each other. As they struggle to survive against overwhelming odds, they will fight to find purpose in this brutal, unforgiving world.","Third-Person, Action, Adventure, Stealth",Asobo Studio,Focus Home Interactive,80%,345,860,1231,600,186,38,15,7,6,3,1.90%,"PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/1/1d/A_Plague_Tale_cover_art.jpg,81,78,81,,,79,82,,,
Persona 5 Royal,"Persona 5 Royal is a remake of the original Persona 5 with the addition of many new elements, including a new third semester, new events involving daily school life and the Phantom Thieves, new characters, locations, and more.","Third-Person, Turn-Based, Action, Role-Playing, Simulation, Social",P-Studio,Atlus,94%,2291,735,234,70,29,8,8,4,5,7,2%,"PlayStation 4, PC, Nintendon Switch, PlayStation 5, Xbox Series X/S, Xbox One",https://upload.wikimedia.org/wikipedia/en/b/b0/Persona_5_cover_art.jpg,93,95,93,,94,95,94,,,
Outer Wilds,Outer Wilds is an open world mystery about a solar system trapped in an endless time loop.,"First-Person, Action, Adventure, Open World",Mobius Digital,Annapurna Interactive,90%,1061,396,219,81,56,32,20,10,4,11,4.70%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, Nintendo Switch",https://upload.wikimedia.org/wikipedia/en/f/f6/Outer_Wilds_Steam_artwork.jpg,91,87,90,,88,88,89,,,
The Walking Dead: The Telltale Definitive Series,"Play the series that revolutionized storytelling in games. The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 DAYS DLC, and The Walking Dead: Michonne. Experience the full story of young survivor Clementine as she grows from scared little girl to capable survivor. A light of hope in a dark world, Clementine goes through many protectors and weathers many threats, learning to fight back in an apocalypse where the weak are crushed and the cruel get results. Always at a disadvantage, Clementine must outsmart and out-will foes stronger than her, and become one of the toughest people still alive, despite her small stature. It's up to you how much Clementine trusts, who she loves, who she hurts, and what she chooses to protect when you cannot save everyone.","Third-Person, Point-and-Click, Adventure, Compilation",Skybound Games,Skybound Games,88%,71,66,34,10,3,2,0,0,0,2,1.60%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/0/0e/The_Walking_Dead_The_Final_Season_cover.jpg,89,,,,,87,82,,,
Slay the Spire,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!","Card Game, Roguelike",Mega Crit Games,"Mega Crit Games, Humble Bundle",85%,260,405,367,124,48,13,4,2,1,0,5.60%,"PC, Nintendo Switch, PlayStation 4, Mobile, Xbox one",https://upload.wikimedia.org/wikipedia/en/b/b7/Slay_the_spire_cover.jpg,84,,,92,86,84,85,,,
Baba Is You (2019),"Baba Is You is a puzzle game where the rules you have to follow are present as blocks you can interact with. By manipulating them, you can change how the game works, repurpose things you find in the levels and cause surprising interactions!","Top-Down, Puzzle",Hempuli Oy,Hempuli Oy,81%,74,100,115,67,21,15,4,5,1,0,11.70%,"PC, Nintendo Switch, Mobile",https://upload.wikimedia.org/wikipedia/en/2/28/Baba_is_you_cover_art.jpg,80,,,,80,,,,,81
Borderlands 3,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four brand new Vault Hunters, each with deep skill trees, abilities and customization. Play solo or join with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy.","First-Person, Action, Shooter",Gearbox,2K Games,74%,82,288,510,380,186,60,30,15,5,9,4.30%,"Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/2/21/Borderlands_3_cover_art.jpg,74,76,75,,,75,74,,81,
Cyberpunk 2077,"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality.","First-Person, Action, Role-Playing, Shooter",CD Projekt RED,CD Projekt,82%,1070,1620,1292,684,269,105,59,34,20,16,2.80%,"PC, PlayStation 5, Xbox Series X/S, PlayStation 4, Xbox One, Google Stadia",https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg,83,84,84,,,73,76,,83,
Hades,Defy the god of death as you hack and slash your way out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion and Transistor.,"Action, Hack and Slash, Roguelike, Role-Playing",Supergiant Games,Supergiant Games,89%,1665,1362,683,236,80,39,23,13,4,9,4.30%,"PC, Nintendo Switch, PlayStation 5, Xbox Series X/S, PlayStation 4, Xbox One, Mobile",https://upload.wikimedia.org/wikipedia/en/c/cc/Hades_cover_art.jpg,88,88,90,90,90,90,89,,,92
Doom Eternal,"As the DOOM Slayer, you return to find Earth has suffered a demonic invasion. Raze Hell and discover the Slayer’s origins and his enduring mission to rip and tear…until it is done.","First-Person, Shooter",id Software,Bethesda Softworks,87%,757,977,635,178,66,29,14,9,4,2,2.80%,"PC, PlayStation 4, Xbox One, Xbox Series X/S, PlayStation 5, Nintendo Switch, Google Stadia",https://upload.wikimedia.org/wikipedia/en/9/9d/Cover_Art_of_Doom_Eternal.png,87,85,86,,90,86,88,,82,
Control: Ultimate Edition,"A corruptive presence has invaded the Federal Bureau of Control…Only you have the power to stop it. The world is now your weapon in an epic fight to annihilate an ominous enemy through deep and unpredictable environments. Containment has failed, humanity is at stake. Will you regain control? Winner of over 80 awards, Control is a visually stunning third-person action-adventure that will keep you on the edge of your seat. Blending open-ended environments with the signature world-building and storytelling of renowned developer, Remedy Entertainment, Control presents an expansive and intensely gratifying gameplay experience.","Third-Person, Action, Adventure, Shooter",Remedy Entertainment,505 Games,82%,272,517,499,222,74,19,10,7,3,2,2.40%,"PC, PlayStation 5, PlayStation 4, Xbox Series X/S, Xbox One, Google Stadia, Nintendo Switch, Amazon Luna",https://upload.wikimedia.org/wikipedia/en/e/e5/Control_game_cover_art.jpg,82,83,85,,90,80,81,80,82,
Black Mesa,"Prepare for an experience that you will find Nostalgic, exciting and fresh. Black Mesa is a re-envisioning of Valve Software's seminal game Half-Life. You will re-visit the inaugural role of Gordon Freeman and his memorable journey through the Black Mesa Research Facility.","First-Person, Shooter",Crowbar Collective,Crowbar Collective,83%,226,378,390,154,54,22,8,3,0,2,2.90%,PC,https://upload.wikimedia.org/wikipedia/en/c/c3/Black_Mesa_release_cover.jpg,83,,,,,,,,,
Marvel's Spider-Man: Miles Morales,"In the latest adventure in the Marvel’s Spider-Man universe, teenager Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. But when a fierce power struggle threatens to destroy his new home, the aspiring hero realizes that with great power, there must also come great responsibility. To save all of Marvel’s New York, Miles must take up the mantle of Spider-Man and own it.","Third-Person, Action, Adventure, Open World",Insomniac Games,PlayStation Studios,82%,421,1264,1477,602,150,29,22,7,2,0,1%,"PlayStation 5, PC, PlayStation 4",https://upload.wikimedia.org/wikipedia/en/a/a3/Spider-Man_Miles_Morales.jpeg,81,82,,,,81,,,,
Final Fantasy VII Remake,"What begins as a rebellion against an evil corporation becomes much more, and what erupts goes beyond imagination. The story of this first, standalone game in the Final Fantasy VII Remake project covers up to the party's escape from Midgar and goes deeper into the events occurring in the city than the original Final Fantasy VII.","Third-Person, Action, Adventure, Role-Playing",Square Enix,Square Enix,86%,1149,1527,912,304,101,53,27,13,6,5,1.60%,"PlayStation 4, PlayStation 5, PC",https://upload.wikimedia.org/wikipedia/en/c/ce/FFVIIRemake.png,85,87,,,,87,,,,
Ghost of Tsushima,"In the late 13th century, the Mongol empire has laid waste to entire nations along their campaign to conquer the East. Tsushima Island is all that stands between mainland Japan and a massive Mongol invasion fleet led by the ruthless and cunning general, Khotun Khan. As the island burns in the wake of the first wave of the Mongol assault, samurai warrior Jin Sakai stands as one of the last surviving members of his clan. He is resolved to do whatever it takes, at any cost, to protect his people and reclaim his home. He must set aside the traditions that have shaped him as a warrior to forge a new path, the path of the Ghost, and wage an unconventional war for the freedom of Tsushima.","Third-Person, Action, Adventure, Open World",Sucker Punch Productions,Sony Interactive Entertainment,88%,1217,1418,776,248,60,21,7,3,1,2,1.90%,"PC, PlayStation 4, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/b/b6/Ghost_of_Tsushima.jpg,87,89,,,,88,,,,
