Title,Introduction,Genres,Developer,Publisher,Average Rating,Rating_100,Rating_90,Rating_80,Rating_70,Rating_60,Rating_50,Rating_40,Rating_30,Rating_20,Rating_10,Retirement,Platforms,ImageURL,PC,PlayStation 5,Xbox Series X/S,Mac,Nintendo Switch,PlayStation 4,Xbox One,Amazon Luna,Google Stadia,Mobile
It Takes Two,"From Hazelight comes It Takes Two – an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what’s possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons.","Third-Person, Action, Adventure, Platform, Puzzle",Hazelight,Electronic Arts,89%,992,884,530,141,43,9,4,5,0,2,2.60%,"PC, PlayStation 5, PlayStation 4, Xbox Series X/S, Xbox One, Nintendo Switch",https://upload.wikimedia.org/wikipedia/en/a/aa/It_Takes_Two_cover_art.png,89,89,90,,89,89,89,,,
Ratchet & Clank: Rift Apart,Ratchet & Clank: Rift Apart will explore the story of Ratchet and Clank as they traverse across old and new worlds in different dimensions to save the universe from Dr. Nefarious's devastating plot to damage the fabric of space and time.,"Action, Platform",Insomniac Games,PlayStation Studios,85%,368,764,641,179,42,10,3,1,1,3,1.10%,"PC, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/a/a3/Ratchet_%26_Clank_-_Rift_Apart.png,83,85,,,,,,,,
Unpacking (2021),"Unpacking is a zen puzzle game about the familiar experience of pulling possessions out of boxes and fitting them into a new home. Part “item Tetris”, part home decoration, you are invited to create a satisfying living space while learning clues about the life you’re unpacking.",Puzzle,Witch Beam,Witch Beam,77%,173,258,462,370,176,55,18,8,2,1,2.50%,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",https://upload.wikimedia.org/wikipedia/en/4/4b/Unpacking_game_cover.png,77,75,,,77,74,76,,,73
The Chronicles Of Myrtana: Archolos,"The Kingdom of Myrtana is in a dramatic situation. After the major defeat of the royal fleet in the waters of the Eastern Archipelago, the once thriving city of Archolos stood on the brink of crisis. Meanwhile, a young foreigner goes to the island in search of a new, better life.","Open World, Role-Playing",The Chronicles Of Myrtana Team,The Chronicles Of Myrtana Team,90%,31,14,3,1,0,0,0,0,0,3,1.90%,PC,https://images.gog-statics.com/80447db2d346cf4f6fa2f0be41157306499affa2c9378f74df13d6b75555c0c1.jpg,90,,,,,,,,,
The Great Ace Attorney Chronicles,"Immerse yourself in a dramatic yet charming and witty world of evidence-gathering, deduction and courtroom battles with this double-pack of the adventures of rookie lawyer Ryunosuke.","Adventure, Compilation, Visual Novel",Capcom,Capcom,89%,113,104,76,10,4,2,2,0,0,0,1.20%,"Nintendo Switch, PC, PlayStation 4",https://upload.wikimedia.org/wikipedia/en/8/8e/The_Great_Ace_Attorney_Chronicles.jpg,89,,,,89,86,,,,
The Legend of Heroes: Trails through Daybreak,"Dive into the newest chapter of the Trails series with Kuro no Kiseki and experience the adventure with enhanced combat, updated visuals, and high-speed game mode!","Action, Adventure, Role-Playing",Falcom,"Falcom, NIS America",87%,38,46,27,4,3,2,1,0,0,0,1.20%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/e/eb/Trails_through_Daybreak_artwork.jpg,89,87,,,86,81,,,,
Valheim,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","Third-Person, Adventure, Open World, Survival",Iron Gate,Coffee Stain Publishing,77%,52,96,111,73,30,19,8,5,4,2,12.40%,PC,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Valheim_2021_logo.jpg/440px-Valheim_2021_logo.jpg,77,,65,,,,,,,
Halo Infinite,"When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced. The legendary Halo series returns with the most expansive Master Chief story yet.","First-Person, Open World, Shooter",343 Industries,Xbox Game Studios,76%,74,293,467,274,126,49,32,7,7,8,8.10%,"PC, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/1/14/Halo_Infinite.png,74,,78,,,,79,,,
Loop Hero,"The Lich has thrown the world into a timeless loop and plunged its inhabitants into never ending chaos. Wield an expanding deck of mystical cards to place enemies, buildings, and terrain along each unique expedition loop for the brave hero.","Role-Playing, Strategy/Tactical",Four Quarters,Devolver Digital,76%,33,75,134,73,50,14,12,4,0,0,11.10%,"Mobile, Nintendo Switch, PC, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Loop_Hero_cover.jpg/440px-Loop_Hero_cover.jpg,75,,87,,81,,65,,,70
Forza Horizon 5,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open-world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.","Open World, Racing/Driving",Playground Games,Xbox Game Studios,84%,160,306,290,101,34,13,5,1,1,0,11.30%,"PC, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/8/86/Forza_Horizon_5_cover_art.jpg,82,,86,,,,84,,,
