Title,Platform,Players,Main Story,Main + Sides,Completionist,Fastest,Slowest
Assassin's Creed Valhalla,Xbox Series X/S,504,65,102,168,30,499
Assassin's Creed Valhalla,Xbox One,192,66,118,152,30,356
Assassin's Creed Valhalla,Google Stadia,20,63,96,156,34,201
Factorio,PC,1323,51,104,232,8,698
Mass Effect Legendary Edition,PC,1665,61,103,145,29,580
Mass Effect Legendary Edition,PlayStation 4,420,61,103,125,29,300
Mass Effect Legendary Edition,Xbox One,131,53,103,176,34,542
Deathloop,PC,1821,17,26,38,7,80
Deathloop,PlayStation 5,1128,17,24,35,7,86
Deathloop,Xbox Series X/S,250,18,29,40,10,62
Death Stranding: Director's Cut,PC,1035,39,62,115,21,279
Death Stranding: Director's Cut,PlayStation 5,813,38,60,111,20,345
Marvel's Guardians of the Galaxy,PC,2870,18,21,27,7,53
Marvel's Guardians of the Galaxy,PlayStation 5,1816,17,20,25,7,74
Marvel's Guardians of the Galaxy,Xbox Series X/S,1071,18,22,28,12,49
Marvel's Guardians of the Galaxy,PlayStation 4,377,18,21,28,10,57
Marvel's Guardians of the Galaxy,Xbox One,174,18,23,29,14,40
Resident Evil Village,PC,4271,10,14,38,2,80
Resident Evil Village,PlayStation 5,1779,10,13,37,3,90
Resident Evil Village,PlayStation 4,640,10,13,40,5,77
Resident Evil Village,Xbox Series X/S,505,10,14,45,5,73
Resident Evil Village,Xbox One,124,11,16,56,4,83
It Takes Two,PC,4023,13,14,17,7,50
It Takes Two,PlayStation 5,1135,13,14,16,8,32
It Takes Two,PlayStation 4,697,13,15,16,6,31
It Takes Two,Xbox Series X/S,676,14,16,17,7,36
It Takes Two,Xbox One,212,14,15,19,9,32
It Takes Two,Nintendo Switch,124,14,18,17,10,24
Ratchet & Clank: Rift Apart,PlayStation 5,4475,11,15,19,6,48
Ratchet & Clank: Rift Apart,PC,708,11,15,19,6,48
Unpacking (2021),PC,2741,4,4,5,1,19
Unpacking (2021),Xbox One,368,4,5,5,1,12
Unpacking (2021),PlayStation 5,349,3,4,4,1,7
Unpacking (2021),Nintendo Switch,286,4,5,5,2,20
Unpacking (2021),PlayStation 4,97,4,5,4,1,7
The Chronicles Of Myrtana: Archolos,PC,107,56,88,130,42,191
The Great Ace Attorney Chronicles,Nintendo Switch,416,67,75,79,27,149
The Great Ace Attorney Chronicles,PC,352,65,79,81,31,132
The Great Ace Attorney Chronicles,PlayStation 4,44,79,78,81,45,126
The Legend of Heroes: Trails through Daybreak,PC,122,52,88,103,35,203
The Legend of Heroes: Trails through Daybreak,PlayStation 5,58,53,92,136,40,254
The Legend of Heroes: Trails through Daybreak,PlayStation 4,24,57,95,107,15,148
The Legend of Heroes: Trails through Daybreak,Nintendo Switch,11,59,93,102,59,146
Valheim,PC,1029,80,106,152,28,434
Halo Infinite,PC,1939,12,19,34,5,184
Halo Infinite,Xbox Series X/S,1206,12,21,31,5,254
Halo Infinite,Xbox One,240,12,22,30,5,58
Loop Hero,PC,875,28,39,57,5,121
Loop Hero,Nintendo Switch,40,32,35,53,11,56
Forza Horizon 5,PC,1129,21,49,133,8,452
Forza Horizon 5,Xbox Series X/S,630,22,48,160,12,576
Forza Horizon 5,Xbox One,104,23,42,142,14,192
Elden Ring,PC,9117,58,101,140,13,432
Elden Ring,PlayStation 5,3423,60,105,135,16,388
Elden Ring,Xbox Series X/S,939,66,108,148,16,421
Elden Ring,PlayStation 4,835,65,112,144,14,401
Elden Ring,Xbox One,122,63,108,148,16,421
Vampire Survivors,PC,2789,16,29,52,1,193
Vampire Survivors,Xbox Series X/S,252,12,24,48,5,111
Vampire Survivors,Mobile,202,17,27,39,5,120
Vampire Survivors,Nintendo Switch,118,17,29,51,3,90
Vampire Survivors,Xbox One,37,22,21,55,6,106
Vampire Survivors,PlayStation 5,33,18,35,53,5,88
Ghostwire: Tokyo,PC,1353,11,23,43,6,90
Ghostwire: Tokyo,PlayStation 5,657,12,24,41,7,73
Ghostwire: Tokyo,Xbox Series X/S,235,11,28,54,6,83
Horizon Forbidden West,PlayStation 5,3399,28,63,89,13,218
Horizon Forbidden West,PlayStation 4,533,31,67,97,15,224
Horizon Forbidden West,PC,423,26,67,114,13,250
Stray,PC,4374,5,7,11,2,36
Stray,PlayStation 5,3209,5,7,10,2,24
Stray,PlayStation 4,825,5,7,10,2,24
Stray,Xbox Series X/S,88,6,8,13,4,24
God of War: Ragnarök,PlayStation 5,5943,27,40,55,15,131
God of War: Ragnarök,PlayStation 4,1053,27,43,57,18,113
God of War: Ragnarök,PC,394,26,42,60,19,104
The Last of Us Part I,PC,1707,15,19,28,9,58
